event_id,incident_date,loss_usd,incident_type,target_type,chain,protocol_id,protocol_chains_count,protocol_chains_count_available_at,is_forked_from_parent,is_forked_from_parent_available_at,parent_fork_children_count,parent_fork_children_count_available_at,protocol_past_events_count,protocol_past_events_count_available_at
demo-0000,2021-01-03T00:00:00+00:00,412095.14,oracle,dex,ethereum,protocol-00,1,2021-01-02T00:00:00+00:00,1,2021-01-02T00:00:00+00:00,0,2021-01-02T00:00:00+00:00,0,2021-01-02T00:00:00+00:00
demo-0001,2021-01-12T00:00:00+00:00,115383.14,access-control,lending,arbitrum,protocol-01,2,2021-01-11T00:00:00+00:00,0,2021-01-11T00:00:00+00:00,0,2021-01-11T00:00:00+00:00,0,2021-01-11T00:00:00+00:00
demo-0002,2021-01-21T00:00:00+00:00,804425.4,reentrancy,bridge,polygon,protocol-02,3,2021-01-20T00:00:00+00:00,0,2021-01-20T00:00:00+00:00,0,2021-01-20T00:00:00+00:00,0,2021-01-20T00:00:00+00:00
demo-0003,2021-01-30T00:00:00+00:00,3911689.79,economic,dex,bsc,protocol-03,4,2021-01-29T00:00:00+00:00,1,2021-01-29T00:00:00+00:00,3,2021-01-29T00:00:00+00:00,0,2021-01-29T00:00:00+00:00
demo-0004,2021-02-08T00:00:00+00:00,34948.12,oracle,lending,ethereum,protocol-04,1,2021-02-07T00:00:00+00:00,0,2021-02-07T00:00:00+00:00,0,2021-02-07T00:00:00+00:00,0,2021-02-07T00:00:00+00:00
demo-0005,2021-02-17T00:00:00+00:00,92332.13,access-control,bridge,arbitrum,protocol-05,2,2021-02-16T00:00:00+00:00,0,2021-02-16T00:00:00+00:00,0,2021-02-16T00:00:00+00:00,0,2021-02-16T00:00:00+00:00
demo-0006,2021-02-26T00:00:00+00:00,954234.13,reentrancy,dex,polygon,protocol-06,3,2021-02-25T00:00:00+00:00,1,2021-02-25T00:00:00+00:00,1,2021-02-25T00:00:00+00:00,0,2021-02-25T00:00:00+00:00
demo-0007,2021-03-07T00:00:00+00:00,494446.28,economic,lending,bsc,protocol-07,4,2021-03-06T00:00:00+00:00,0,2021-03-06T00:00:00+00:00,0,2021-03-06T00:00:00+00:00,0,2021-03-06T00:00:00+00:00
demo-0008,2021-03-16T00:00:00+00:00,180903.5,oracle,bridge,ethereum,protocol-08,1,2021-03-15T00:00:00+00:00,0,2021-03-15T00:00:00+00:00,0,2021-03-15T00:00:00+00:00,0,2021-03-15T00:00:00+00:00
demo-0009,2021-03-25T00:00:00+00:00,427159.46,access-control,dex,arbitrum,protocol-09,2,2021-03-24T00:00:00+00:00,1,2021-03-24T00:00:00+00:00,4,2021-03-24T00:00:00+00:00,0,2021-03-24T00:00:00+00:00
demo-0010,2021-04-03T00:00:00+00:00,897607.6,reentrancy,lending,polygon,protocol-10,3,2021-04-02T00:00:00+00:00,0,2021-04-02T00:00:00+00:00,0,2021-04-02T00:00:00+00:00,0,2021-04-02T00:00:00+00:00
demo-0011,2021-04-12T00:00:00+00:00,1253090.11,economic,bridge,bsc,protocol-11,4,2021-04-11T00:00:00+00:00,0,2021-04-11T00:00:00+00:00,0,2021-04-11T00:00:00+00:00,0,2021-04-11T00:00:00+00:00
demo-0012,2021-04-21T00:00:00+00:00,454124.24,oracle,dex,ethereum,protocol-12,1,2021-04-20T00:00:00+00:00,1,2021-04-20T00:00:00+00:00,2,2021-04-20T00:00:00+00:00,0,2021-04-20T00:00:00+00:00
demo-0013,2021-04-30T00:00:00+00:00,728071.86,access-control,lending,arbitrum,protocol-13,2,2021-04-29T00:00:00+00:00,0,2021-04-29T00:00:00+00:00,0,2021-04-29T00:00:00+00:00,0,2021-04-29T00:00:00+00:00
demo-0014,2021-05-09T00:00:00+00:00,632466.76,reentrancy,bridge,polygon,protocol-14,3,2021-05-08T00:00:00+00:00,0,2021-05-08T00:00:00+00:00,0,2021-05-08T00:00:00+00:00,0,2021-05-08T00:00:00+00:00
demo-0015,2021-05-18T00:00:00+00:00,540149.59,economic,dex,bsc,protocol-15,4,2021-05-17T00:00:00+00:00,1,2021-05-17T00:00:00+00:00,0,2021-05-17T00:00:00+00:00,0,2021-05-17T00:00:00+00:00
demo-0016,2021-05-27T00:00:00+00:00,251057.72,oracle,lending,ethereum,protocol-16,1,2021-05-26T00:00:00+00:00,0,2021-05-26T00:00:00+00:00,0,2021-05-26T00:00:00+00:00,0,2021-05-26T00:00:00+00:00
demo-0017,2021-06-05T00:00:00+00:00,123617.8,access-control,bridge,arbitrum,protocol-17,2,2021-06-04T00:00:00+00:00,0,2021-06-04T00:00:00+00:00,0,2021-06-04T00:00:00+00:00,0,2021-06-04T00:00:00+00:00
demo-0018,2021-06-14T00:00:00+00:00,981348.33,reentrancy,dex,ethereum,protocol-00,1,2021-06-13T00:00:00+00:00,1,2021-06-13T00:00:00+00:00,0,2021-06-13T00:00:00+00:00,1,2021-06-13T00:00:00+00:00
demo-0019,2021-06-23T00:00:00+00:00,391430.39,economic,lending,arbitrum,protocol-01,2,2021-06-22T00:00:00+00:00,0,2021-06-22T00:00:00+00:00,0,2021-06-22T00:00:00+00:00,1,2021-06-22T00:00:00+00:00
demo-0020,2021-07-02T00:00:00+00:00,531185.72,oracle,bridge,polygon,protocol-02,3,2021-07-01T00:00:00+00:00,0,2021-07-01T00:00:00+00:00,0,2021-07-01T00:00:00+00:00,1,2021-07-01T00:00:00+00:00
demo-0021,2021-07-11T00:00:00+00:00,1441521.75,access-control,dex,bsc,protocol-03,4,2021-07-10T00:00:00+00:00,1,2021-07-10T00:00:00+00:00,3,2021-07-10T00:00:00+00:00,1,2021-07-10T00:00:00+00:00
demo-0022,2021-07-20T00:00:00+00:00,758547.07,reentrancy,lending,ethereum,protocol-04,1,2021-07-19T00:00:00+00:00,0,2021-07-19T00:00:00+00:00,0,2021-07-19T00:00:00+00:00,1,2021-07-19T00:00:00+00:00
demo-0023,2021-07-29T00:00:00+00:00,358129.5,economic,bridge,arbitrum,protocol-05,2,2021-07-28T00:00:00+00:00,0,2021-07-28T00:00:00+00:00,0,2021-07-28T00:00:00+00:00,1,2021-07-28T00:00:00+00:00
demo-0024,2021-08-07T00:00:00+00:00,869715.44,oracle,dex,polygon,protocol-06,3,2021-08-06T00:00:00+00:00,1,2021-08-06T00:00:00+00:00,1,2021-08-06T00:00:00+00:00,1,2021-08-06T00:00:00+00:00
demo-0025,2021-08-16T00:00:00+00:00,701296.81,access-control,lending,bsc,protocol-07,4,2021-08-15T00:00:00+00:00,0,2021-08-15T00:00:00+00:00,0,2021-08-15T00:00:00+00:00,1,2021-08-15T00:00:00+00:00
demo-0026,2021-08-25T00:00:00+00:00,421874.35,reentrancy,bridge,ethereum,protocol-08,1,2021-08-24T00:00:00+00:00,0,2021-08-24T00:00:00+00:00,0,2021-08-24T00:00:00+00:00,1,2021-08-24T00:00:00+00:00
demo-0027,2021-09-03T00:00:00+00:00,1759653.47,economic,dex,arbitrum,protocol-09,2,2021-09-02T00:00:00+00:00,1,2021-09-02T00:00:00+00:00,4,2021-09-02T00:00:00+00:00,1,2021-09-02T00:00:00+00:00
demo-0028,2021-09-12T00:00:00+00:00,882772.43,oracle,lending,polygon,protocol-10,3,2021-09-11T00:00:00+00:00,0,2021-09-11T00:00:00+00:00,0,2021-09-11T00:00:00+00:00,1,2021-09-11T00:00:00+00:00
demo-0029,2021-09-21T00:00:00+00:00,1364362.51,access-control,bridge,bsc,protocol-11,4,2021-09-20T00:00:00+00:00,0,2021-09-20T00:00:00+00:00,0,2021-09-20T00:00:00+00:00,1,2021-09-20T00:00:00+00:00
demo-0030,2021-09-30T00:00:00+00:00,3876334.16,reentrancy,dex,ethereum,protocol-12,1,2021-09-29T00:00:00+00:00,1,2021-09-29T00:00:00+00:00,2,2021-09-29T00:00:00+00:00,1,2021-09-29T00:00:00+00:00
demo-0031,2021-10-09T00:00:00+00:00,289105.58,economic,lending,arbitrum,protocol-13,2,2021-10-08T00:00:00+00:00,0,2021-10-08T00:00:00+00:00,0,2021-10-08T00:00:00+00:00,1,2021-10-08T00:00:00+00:00
demo-0032,2021-10-18T00:00:00+00:00,402155.33,oracle,bridge,polygon,protocol-14,3,2021-10-17T00:00:00+00:00,0,2021-10-17T00:00:00+00:00,0,2021-10-17T00:00:00+00:00,1,2021-10-17T00:00:00+00:00
demo-0033,2021-10-27T00:00:00+00:00,821012.14,access-control,dex,bsc,protocol-15,4,2021-10-26T00:00:00+00:00,1,2021-10-26T00:00:00+00:00,0,2021-10-26T00:00:00+00:00,1,2021-10-26T00:00:00+00:00
demo-0034,2021-11-05T00:00:00+00:00,452970.6,reentrancy,lending,ethereum,protocol-16,1,2021-11-04T00:00:00+00:00,0,2021-11-04T00:00:00+00:00,0,2021-11-04T00:00:00+00:00,1,2021-11-04T00:00:00+00:00
demo-0035,2021-11-14T00:00:00+00:00,1066215.96,economic,bridge,arbitrum,protocol-17,2,2021-11-13T00:00:00+00:00,0,2021-11-13T00:00:00+00:00,0,2021-11-13T00:00:00+00:00,1,2021-11-13T00:00:00+00:00
demo-0036,2021-11-23T00:00:00+00:00,617321.14,oracle,dex,ethereum,protocol-00,1,2021-11-22T00:00:00+00:00,1,2021-11-22T00:00:00+00:00,0,2021-11-22T00:00:00+00:00,2,2021-11-22T00:00:00+00:00
demo-0037,2021-12-02T00:00:00+00:00,292396.78,access-control,lending,arbitrum,protocol-01,2,2021-12-01T00:00:00+00:00,0,2021-12-01T00:00:00+00:00,0,2021-12-01T00:00:00+00:00,2,2021-12-01T00:00:00+00:00
demo-0038,2021-12-11T00:00:00+00:00,450985.73,reentrancy,bridge,polygon,protocol-02,3,2021-12-10T00:00:00+00:00,0,2021-12-10T00:00:00+00:00,0,2021-12-10T00:00:00+00:00,2,2021-12-10T00:00:00+00:00
demo-0039,2021-12-20T00:00:00+00:00,6537097.84,economic,dex,bsc,protocol-03,4,2021-12-19T00:00:00+00:00,1,2021-12-19T00:00:00+00:00,3,2021-12-19T00:00:00+00:00,2,2021-12-19T00:00:00+00:00
demo-0040,2021-12-29T00:00:00+00:00,738049.4,oracle,lending,ethereum,protocol-04,1,2021-12-28T00:00:00+00:00,0,2021-12-28T00:00:00+00:00,0,2021-12-28T00:00:00+00:00,2,2021-12-28T00:00:00+00:00
demo-0041,2022-01-07T00:00:00+00:00,947593.72,access-control,bridge,arbitrum,protocol-05,2,2022-01-06T00:00:00+00:00,0,2022-01-06T00:00:00+00:00,0,2022-01-06T00:00:00+00:00,2,2022-01-06T00:00:00+00:00
demo-0042,2022-01-16T00:00:00+00:00,1039568.99,reentrancy,dex,polygon,protocol-06,3,2022-01-15T00:00:00+00:00,1,2022-01-15T00:00:00+00:00,1,2022-01-15T00:00:00+00:00,2,2022-01-15T00:00:00+00:00
demo-0043,2022-01-25T00:00:00+00:00,1685102.79,economic,lending,bsc,protocol-07,4,2022-01-24T00:00:00+00:00,0,2022-01-24T00:00:00+00:00,0,2022-01-24T00:00:00+00:00,2,2022-01-24T00:00:00+00:00
demo-0044,2022-02-03T00:00:00+00:00,433298.84,oracle,bridge,ethereum,protocol-08,1,2022-02-02T00:00:00+00:00,0,2022-02-02T00:00:00+00:00,0,2022-02-02T00:00:00+00:00,2,2022-02-02T00:00:00+00:00
demo-0045,2022-02-12T00:00:00+00:00,2271350.87,access-control,dex,arbitrum,protocol-09,2,2022-02-11T00:00:00+00:00,1,2022-02-11T00:00:00+00:00,4,2022-02-11T00:00:00+00:00,2,2022-02-11T00:00:00+00:00
demo-0046,2022-02-21T00:00:00+00:00,1906375.71,reentrancy,lending,polygon,protocol-10,3,2022-02-20T00:00:00+00:00,0,2022-02-20T00:00:00+00:00,0,2022-02-20T00:00:00+00:00,2,2022-02-20T00:00:00+00:00
demo-0047,2022-03-02T00:00:00+00:00,1672878.27,economic,bridge,bsc,protocol-11,4,2022-03-01T00:00:00+00:00,0,2022-03-01T00:00:00+00:00,0,2022-03-01T00:00:00+00:00,2,2022-03-01T00:00:00+00:00
demo-0048,2022-03-11T00:00:00+00:00,1634874.38,oracle,dex,ethereum,protocol-12,1,2022-03-10T00:00:00+00:00,1,2022-03-10T00:00:00+00:00,2,2022-03-10T00:00:00+00:00,2,2022-03-10T00:00:00+00:00
demo-0049,2022-03-20T00:00:00+00:00,632504.24,access-control,lending,arbitrum,protocol-13,2,2022-03-19T00:00:00+00:00,0,2022-03-19T00:00:00+00:00,0,2022-03-19T00:00:00+00:00,2,2022-03-19T00:00:00+00:00
demo-0050,2022-03-29T00:00:00+00:00,1162114.2,reentrancy,bridge,polygon,protocol-14,3,2022-03-28T00:00:00+00:00,0,2022-03-28T00:00:00+00:00,0,2022-03-28T00:00:00+00:00,2,2022-03-28T00:00:00+00:00
demo-0051,2022-04-07T00:00:00+00:00,4100399.61,economic,dex,bsc,protocol-15,4,2022-04-06T00:00:00+00:00,1,2022-04-06T00:00:00+00:00,0,2022-04-06T00:00:00+00:00,2,2022-04-06T00:00:00+00:00
demo-0052,2022-04-16T00:00:00+00:00,113711.24,oracle,lending,ethereum,protocol-16,1,2022-04-15T00:00:00+00:00,0,2022-04-15T00:00:00+00:00,0,2022-04-15T00:00:00+00:00,2,2022-04-15T00:00:00+00:00
demo-0053,2022-04-25T00:00:00+00:00,455103.19,access-control,bridge,arbitrum,protocol-17,2,2022-04-24T00:00:00+00:00,0,2022-04-24T00:00:00+00:00,0,2022-04-24T00:00:00+00:00,2,2022-04-24T00:00:00+00:00
demo-0054,2022-05-04T00:00:00+00:00,666758.54,reentrancy,dex,ethereum,protocol-00,1,2022-05-03T00:00:00+00:00,1,2022-05-03T00:00:00+00:00,0,2022-05-03T00:00:00+00:00,3,2022-05-03T00:00:00+00:00
demo-0055,2022-05-13T00:00:00+00:00,507348.71,economic,lending,arbitrum,protocol-01,2,2022-05-12T00:00:00+00:00,0,2022-05-12T00:00:00+00:00,0,2022-05-12T00:00:00+00:00,3,2022-05-12T00:00:00+00:00
demo-0056,2022-05-22T00:00:00+00:00,1051921.54,oracle,bridge,polygon,protocol-02,3,2022-05-21T00:00:00+00:00,0,2022-05-21T00:00:00+00:00,0,2022-05-21T00:00:00+00:00,3,2022-05-21T00:00:00+00:00
demo-0057,2022-05-31T00:00:00+00:00,19593336.94,access-control,dex,bsc,protocol-03,4,2022-05-30T00:00:00+00:00,1,2022-05-30T00:00:00+00:00,3,2022-05-30T00:00:00+00:00,3,2022-05-30T00:00:00+00:00
demo-0058,2022-06-09T00:00:00+00:00,274867.26,reentrancy,lending,ethereum,protocol-04,1,2022-06-08T00:00:00+00:00,0,2022-06-08T00:00:00+00:00,0,2022-06-08T00:00:00+00:00,3,2022-06-08T00:00:00+00:00
demo-0059,2022-06-18T00:00:00+00:00,1988789.26,economic,bridge,arbitrum,protocol-05,2,2022-06-17T00:00:00+00:00,0,2022-06-17T00:00:00+00:00,0,2022-06-17T00:00:00+00:00,3,2022-06-17T00:00:00+00:00
demo-0060,2022-06-27T00:00:00+00:00,640215.87,oracle,dex,polygon,protocol-06,3,2022-06-26T00:00:00+00:00,1,2022-06-26T00:00:00+00:00,1,2022-06-26T00:00:00+00:00,3,2022-06-26T00:00:00+00:00
demo-0061,2022-07-06T00:00:00+00:00,1521713.75,access-control,lending,bsc,protocol-07,4,2022-07-05T00:00:00+00:00,0,2022-07-05T00:00:00+00:00,0,2022-07-05T00:00:00+00:00,3,2022-07-05T00:00:00+00:00
demo-0062,2022-07-15T00:00:00+00:00,658908.6,reentrancy,bridge,ethereum,protocol-08,1,2022-07-14T00:00:00+00:00,0,2022-07-14T00:00:00+00:00,0,2022-07-14T00:00:00+00:00,3,2022-07-14T00:00:00+00:00
demo-0063,2022-07-24T00:00:00+00:00,4539325.46,economic,dex,arbitrum,protocol-09,2,2022-07-23T00:00:00+00:00,1,2022-07-23T00:00:00+00:00,4,2022-07-23T00:00:00+00:00,3,2022-07-23T00:00:00+00:00
demo-0064,2022-08-02T00:00:00+00:00,2432773.67,oracle,lending,polygon,protocol-10,3,2022-08-01T00:00:00+00:00,0,2022-08-01T00:00:00+00:00,0,2022-08-01T00:00:00+00:00,3,2022-08-01T00:00:00+00:00
demo-0065,2022-08-11T00:00:00+00:00,3970271.94,access-control,bridge,bsc,protocol-11,4,2022-08-10T00:00:00+00:00,0,2022-08-10T00:00:00+00:00,0,2022-08-10T00:00:00+00:00,3,2022-08-10T00:00:00+00:00
demo-0066,2022-08-20T00:00:00+00:00,998074.99,reentrancy,dex,ethereum,protocol-12,1,2022-08-19T00:00:00+00:00,1,2022-08-19T00:00:00+00:00,2,2022-08-19T00:00:00+00:00,3,2022-08-19T00:00:00+00:00
demo-0067,2022-08-29T00:00:00+00:00,589482.89,economic,lending,arbitrum,protocol-13,2,2022-08-28T00:00:00+00:00,0,2022-08-28T00:00:00+00:00,0,2022-08-28T00:00:00+00:00,3,2022-08-28T00:00:00+00:00
demo-0068,2022-09-07T00:00:00+00:00,2755968.55,oracle,bridge,polygon,protocol-14,3,2022-09-06T00:00:00+00:00,0,2022-09-06T00:00:00+00:00,0,2022-09-06T00:00:00+00:00,3,2022-09-06T00:00:00+00:00
demo-0069,2022-09-16T00:00:00+00:00,2979873.25,access-control,dex,bsc,protocol-15,4,2022-09-15T00:00:00+00:00,1,2022-09-15T00:00:00+00:00,0,2022-09-15T00:00:00+00:00,3,2022-09-15T00:00:00+00:00
demo-0070,2022-09-25T00:00:00+00:00,194010.32,reentrancy,lending,ethereum,protocol-16,1,2022-09-24T00:00:00+00:00,0,2022-09-24T00:00:00+00:00,0,2022-09-24T00:00:00+00:00,3,2022-09-24T00:00:00+00:00
